[GIN] 2022/07/11 - 12:35:56 | 200 |     95.3833ms |     172.21.96.1 | POST     "/auth/login/"
[GIN] 2022/07/11 - 12:35:56 | 200 |      8.3027ms |     172.21.96.1 | GET      "/auth/refresh/"
[GIN] 2022/07/11 - 12:35:56 | 200 |      3.2094ms |     172.21.96.1 | GET      "/user/rishabh2791/"
[GIN] 2022/07/11 - 12:35:56 | 200 |      4.2732ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 12:35:56 | 200 |      7.9831ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 12:35:56 | 200 |     13.9419ms |     172.21.96.1 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/07/11 - 12:35:56 | 200 |      4.1307ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 12:35:56 | 200 |      3.0692ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 12:35:56 | 200 |       2.975ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 12:35:56 | 200 |       5.311ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 12:35:56 | 200 |     35.0864ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 12:35:56 | 200 |      6.4168ms |     172.21.96.1 | POST     "/sku_speed/"
[GIN] 2022/07/11 - 12:35:56 | 200 |       3.733ms |     172.21.96.1 | POST     "/device/"
[GIN] 2022/07/11 - 12:36:01 | 200 |      3.2457ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 12:36:01 | 200 |      4.9095ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 12:36:01 | 200 |     17.8446ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 12:37:41 | 200 |    101.4513ms |     172.21.96.1 | POST     "/auth/login/"
[GIN] 2022/07/11 - 12:37:41 | 200 |      6.1989ms |     172.21.96.1 | GET      "/auth/refresh/"
[GIN] 2022/07/11 - 12:37:41 | 200 |      2.2868ms |     172.21.96.1 | GET      "/user/rishabh2791/"
[GIN] 2022/07/11 - 12:37:41 | 200 |       3.893ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 12:37:41 | 200 |       222.2µs |     172.21.96.1 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/07/11 - 12:37:41 | 200 |      13.189ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 12:37:42 | 200 |      2.4301ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 12:37:42 | 200 |      4.0381ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 12:37:42 | 200 |      5.4225ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 12:37:42 | 200 |      7.4531ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 12:37:42 | 200 |     68.9809ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 12:37:42 | 200 |      2.4949ms |     172.21.96.1 | POST     "/sku_speed/"
[GIN] 2022/07/11 - 12:37:42 | 200 |     22.2404ms |     172.21.96.1 | POST     "/device/"
[GIN] 2022/07/11 - 12:37:45 | 200 |      6.0225ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 12:37:45 | 200 |      5.9234ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 12:37:45 | 200 |      15.277ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 12:45:56 | 200 |    105.5103ms |     172.21.96.1 | POST     "/auth/login/"
[GIN] 2022/07/11 - 12:45:56 | 200 |      5.9907ms |     172.21.96.1 | GET      "/auth/refresh/"
[GIN] 2022/07/11 - 12:45:57 | 200 |      2.6614ms |     172.21.96.1 | GET      "/user/rishabh2791/"
[GIN] 2022/07/11 - 12:45:57 | 200 |      6.0485ms |     172.21.96.1 | POST     "/shift/"
[GIN] 2022/07/11 - 12:45:57 | 200 |       353.7µs |     172.21.96.1 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/07/11 - 12:45:57 | 200 |      7.3891ms |     172.21.96.1 | POST     "/line/"
[GIN] 2022/07/11 - 12:45:57 | 200 |       8.572ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 12:45:57 | 200 |      4.4431ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 12:45:57 | 200 |     10.0053ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 12:45:57 | 200 |       2.516ms |     172.21.96.1 | POST     "/downtime/"
[GIN] 2022/07/11 - 12:45:57 | 200 |      23.004ms |     172.21.96.1 | POST     "/task/"
[GIN] 2022/07/11 - 12:45:57 | 200 |      2.4652ms |     172.21.96.1 | POST     "/sku_speed/"
[GIN] 2022/07/11 - 12:45:57 | 200 |      2.8398ms |     172.21.96.1 | POST     "/device/"
