[GIN] 2022/07/14 - 18:11:22 | 200 |   18.724583ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:11:22 | 200 |    7.749416ms |  192.168.50.227 | PATCH    "/task/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:13:38 | 200 |    2.445958ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:13:38 | 200 |    3.246417ms |  192.168.50.227 | POST     "/sku/"
[GIN] 2022/07/14 - 18:13:41 | 200 |    3.093667ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:13:41 | 200 |    3.824584ms |  192.168.50.227 | POST     "/sku/"
[GIN] 2022/07/14 - 18:13:45 | 200 |    3.646083ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:13:45 | 200 |    3.313167ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:13:45 | 200 |    8.889625ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:14:30 | 200 |    4.126666ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:14:30 | 200 |    2.940083ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:14:30 | 200 |   11.232792ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:14:33 | 200 |    1.611083ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:14:39 | 200 |    14.70625ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:14:39 | 200 |    9.432583ms |  192.168.50.227 | PATCH    "/task/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:14:45 | 200 |   27.394916ms |  192.168.50.227 | PATCH    "/task_batch/839a17c8-837e-47b3-9b91-0a3b414fa425/"
[GIN] 2022/07/14 - 18:14:45 | 200 |    7.976208ms |  192.168.50.227 | POST     "/task_batch/create/"
[GIN] 2022/07/14 - 18:14:47 | 200 |   23.250125ms |  192.168.50.227 | PATCH    "/task_batch/0823dd7c-b889-4b23-8359-6670c242ac30/"
[GIN] 2022/07/14 - 18:14:47 | 200 |    9.715959ms |  192.168.50.227 | PATCH    "/task/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:16:32 | 200 |      2.8515ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/14 - 18:16:32 | 200 |    2.559375ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/14 - 18:16:32 | 200 |    8.150292ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/14 - 18:16:34 | 200 |     7.91025ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/14 - 18:16:43 | 200 |    2.504791ms |  192.168.50.227 | POST     "/shift/"
