[GIN] 2022/07/15 - 21:50:46 | 200 |   88.851791ms |  192.168.50.227 | POST     "/auth/login/"
[GIN] 2022/07/15 - 21:50:46 | 200 |    6.696583ms |  192.168.50.227 | GET      "/auth/refresh/"
[GIN] 2022/07/15 - 21:50:46 | 200 |    2.738042ms |  192.168.50.227 | GET      "/user/rishabh2791/"
[GIN] 2022/07/15 - 21:50:46 | 200 |    3.626791ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/15 - 21:50:46 | 200 |    2.589875ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/15 - 21:50:46 | 200 |    3.142542ms |  192.168.50.227 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/07/15 - 21:50:46 | 200 |    2.313375ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/15 - 21:50:46 | 200 |    1.965417ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/15 - 21:50:46 | 200 |    2.964459ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/15 - 21:50:46 | 200 |    1.505125ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/15 - 21:50:46 | 200 |       9.951ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/15 - 21:50:46 | 200 |    2.420167ms |  192.168.50.227 | POST     "/sku_speed/"
[GIN] 2022/07/15 - 21:50:46 | 200 |    1.641666ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/15 - 21:50:51 | 200 |    3.018208ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/15 - 21:50:51 | 200 |    3.183083ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/15 - 21:50:51 | 200 |   15.202375ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/15 - 21:50:52 | 200 |   11.251167ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/15 - 21:50:52 | 200 |    3.034333ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/15 - 21:50:52 | 200 |    4.129625ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/15 - 21:51:42 | 200 |    5.354167ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/15 - 21:51:42 | 200 |    3.321791ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/15 - 21:51:42 | 200 |   12.988208ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/15 - 21:51:43 | 200 |   10.658291ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/15 - 21:51:43 | 200 |    1.564875ms |  192.168.50.227 | POST     "/device_data/"
[GIN] 2022/07/15 - 21:51:43 | 200 |    3.367917ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/15 - 21:51:51 | 200 |    3.641916ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/15 - 21:51:51 | 200 |       2.802ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/15 - 21:51:51 | 200 |    2.352875ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/15 - 21:51:51 | 200 |    1.139375ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/15 - 21:51:51 | 200 |    1.084458ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/15 - 21:51:51 | 200 |    1.055167ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/15 - 21:51:51 | 200 |   11.644125ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/15 - 21:51:51 | 200 |    1.436542ms |  192.168.50.227 | POST     "/sku_speed/"
[GIN] 2022/07/15 - 21:51:51 | 200 |    1.931667ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/15 - 21:51:59 | 200 |       4.711ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/15 - 21:52:00 | 200 |     2.29575ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/15 - 21:52:04 | 200 |    4.986791ms |  192.168.50.227 | POST     "/line/"
