[GIN] 2022/07/16 - 13:36:55 | 200 |      98.027ms |  192.168.50.227 | POST     "/auth/login/"
[GIN] 2022/07/16 - 13:36:55 | 200 |    7.306583ms |  192.168.50.227 | GET      "/auth/refresh/"
[GIN] 2022/07/16 - 13:36:55 | 200 |    7.141541ms |  192.168.50.227 | GET      "/user/rishabh2791/"
[GIN] 2022/07/16 - 13:36:56 | 200 |    4.246667ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 13:36:56 | 200 |     2.94025ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 13:36:56 | 200 |    1.828792ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 13:36:56 | 200 |    5.549417ms |  192.168.50.227 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/07/16 - 13:36:56 | 200 |    2.713125ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 13:36:56 | 200 |    1.651417ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 13:36:56 | 200 |    1.156625ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 13:36:56 | 200 |    16.72725ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 13:36:56 | 200 |    1.905583ms |  192.168.50.227 | POST     "/sku_speed/"
[GIN] 2022/07/16 - 13:36:56 | 200 |      1.1765ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 13:37:06 | 200 |    3.247125ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 13:37:06 | 200 |    2.912333ms |  192.168.50.227 | POST     "/shift/"
[GIN] 2022/07/16 - 13:37:06 | 200 |   12.834125ms |  192.168.50.227 | POST     "/task/"
[GIN] 2022/07/16 - 13:37:07 | 200 |      12.231ms |  192.168.50.227 | GET      "/task_batch/e3f3ced8-267f-4d92-9efa-c59e9c786d5e/"
[GIN] 2022/07/16 - 13:37:07 | 200 |    1.685875ms |  192.168.50.227 | POST     "/device/"
[GIN] 2022/07/16 - 13:37:07 | 200 |    3.373667ms |  192.168.50.227 | POST     "/downtime/"
[GIN] 2022/07/16 - 13:37:22 | 200 |    4.544666ms |  192.168.50.227 | POST     "/line/"
[GIN] 2022/07/16 - 13:37:48 | 200 |    5.510916ms |  192.168.50.227 | POST     "/line/"
