[GIN] 2022/07/28 - 10:53:29 | 200 |     86.2532ms |    172.30.128.1 | POST     "/auth/login/"
[GIN] 2022/07/28 - 10:53:30 | 200 |      8.3814ms |    172.30.128.1 | GET      "/auth/refresh/"
[GIN] 2022/07/28 - 10:53:30 | 200 |      3.0113ms |    172.30.128.1 | GET      "/user/rishabh2791/"
[GIN] 2022/07/28 - 10:53:30 | 200 |       6.051ms |    172.30.128.1 | POST     "/shift/"
[GIN] 2022/07/28 - 10:53:30 | 200 |      3.3624ms |    172.30.128.1 | POST     "/line/"
[GIN] 2022/07/28 - 10:53:30 | 200 |      8.6103ms |    172.30.128.1 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/07/28 - 10:54:45 | 200 |     81.1886ms |    172.30.128.1 | POST     "/auth/login/"
[GIN] 2022/07/28 - 10:54:45 | 200 |      6.0413ms |    172.30.128.1 | GET      "/auth/refresh/"
[GIN] 2022/07/28 - 10:54:45 | 200 |      2.7448ms |    172.30.128.1 | GET      "/user/rishabh2791/"
[GIN] 2022/07/28 - 10:54:45 | 200 |      4.2887ms |    172.30.128.1 | POST     "/shift/"
[GIN] 2022/07/28 - 10:54:45 | 200 |      2.4584ms |    172.30.128.1 | POST     "/line/"
[GIN] 2022/07/28 - 10:54:45 | 200 |         654µs |    172.30.128.1 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/07/28 - 10:54:58 | 200 |      2.3481ms |    172.30.128.1 | POST     "/line/"
[GIN] 2022/07/28 - 10:54:58 | 200 |      5.5937ms |    172.30.128.1 | POST     "/job/"
[GIN] 2022/07/28 - 10:54:58 | 200 |     11.7848ms |    172.30.128.1 | POST     "/shift/"
[GIN] 2022/07/28 - 10:55:03 | 200 |      6.9203ms |    172.30.128.1 | POST     "/shift/"
[GIN] 2022/07/28 - 10:55:03 | 200 |      4.9138ms |    172.30.128.1 | POST     "/line/"
[GIN] 2022/07/28 - 10:58:38 | 200 |     86.6675ms |    172.30.128.1 | POST     "/auth/login/"
[GIN] 2022/07/28 - 10:58:38 | 200 |       7.541ms |    172.30.128.1 | GET      "/auth/refresh/"
[GIN] 2022/07/28 - 10:58:38 | 200 |      3.1145ms |    172.30.128.1 | GET      "/user/rishabh2791/"
[GIN] 2022/07/28 - 10:58:38 | 200 |      4.5915ms |    172.30.128.1 | POST     "/shift/"
[GIN] 2022/07/28 - 10:58:38 | 200 |      3.5145ms |    172.30.128.1 | POST     "/line/"
[GIN] 2022/07/28 - 10:58:38 | 200 |         303µs |    172.30.128.1 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/07/28 - 11:00:21 | 200 |     24.0598ms |    172.30.128.1 | POST     "/line/create/"
[GIN] 2022/07/28 - 11:00:42 | 200 |     10.0048ms |    172.30.128.1 | POST     "/line/create/"
[GIN] 2022/07/28 - 11:00:58 | 200 |     20.8746ms |    172.30.128.1 | POST     "/line/create/"
[GIN] 2022/07/28 - 11:01:10 | 200 |     16.5801ms |    172.30.128.1 | POST     "/line/create/"
[GIN] 2022/07/28 - 11:01:26 | 200 |      3.2655ms |    172.30.128.1 | POST     "/sku/"
[GIN] 2022/07/28 - 12:57:29 | 200 |     11.4034ms |    172.30.128.1 | GET      "/auth/refresh/"
[GIN] 2022/07/28 - 12:57:29 | 200 |     12.3864ms |    172.30.128.1 | POST     "/shift/"
[GIN] 2022/07/28 - 12:57:29 | 200 |     17.7039ms |    172.30.128.1 | POST     "/line/"
[GIN] 2022/07/28 - 12:57:30 | 200 |     15.5034ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 12:57:30 | 200 |      5.5587ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 12:57:30 | 200 |      9.8879ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 12:57:30 | 200 |     11.0389ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 12:57:30 | 200 |      8.2067ms |    172.30.128.1 | POST     "/task/"
[GIN] 2022/07/28 - 13:04:42 | 200 |      6.5609ms |    172.30.128.1 | POST     "/shift/"
[GIN] 2022/07/28 - 13:04:42 | 200 |      7.7829ms |    172.30.128.1 | POST     "/line/"
[GIN] 2022/07/28 - 13:04:42 | 200 |      6.7047ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:04:42 | 200 |     10.1803ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:04:42 | 200 |      4.0393ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:04:42 | 200 |      5.7071ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:04:42 | 200 |      3.0427ms |    172.30.128.1 | POST     "/task/"
[GIN] 2022/07/28 - 13:06:42 | 200 |      7.2175ms |    172.30.128.1 | POST     "/shift/"
[GIN] 2022/07/28 - 13:06:42 | 200 |     10.0434ms |    172.30.128.1 | POST     "/line/"
[GIN] 2022/07/28 - 13:06:42 | 200 |      7.1204ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:06:42 | 200 |     17.4607ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:06:42 | 200 |       7.601ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:06:42 | 200 |     11.1176ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:06:42 | 200 |      7.5381ms |    172.30.128.1 | POST     "/task/"
[GIN] 2022/07/28 - 13:08:42 | 200 |      4.8404ms |    172.30.128.1 | POST     "/shift/"
[GIN] 2022/07/28 - 13:08:42 | 200 |      6.1304ms |    172.30.128.1 | POST     "/line/"
[GIN] 2022/07/28 - 13:08:42 | 200 |      3.4267ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:08:42 | 200 |      3.7487ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:08:42 | 200 |      2.2195ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:08:42 | 200 |      5.7436ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:08:42 | 200 |      2.3513ms |    172.30.128.1 | POST     "/task/"
[GIN] 2022/07/28 - 13:10:42 | 200 |      7.8268ms |    172.30.128.1 | POST     "/shift/"
[GIN] 2022/07/28 - 13:10:42 | 200 |     10.0966ms |    172.30.128.1 | POST     "/line/"
[GIN] 2022/07/28 - 13:10:42 | 200 |      3.9859ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:10:42 | 200 |      6.8644ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:10:42 | 200 |      4.5571ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:10:42 | 200 |      7.7082ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:10:42 | 200 |      3.9207ms |    172.30.128.1 | POST     "/task/"
[GIN] 2022/07/28 - 13:12:42 | 200 |      4.7565ms |    172.30.128.1 | POST     "/shift/"
[GIN] 2022/07/28 - 13:12:42 | 200 |      4.2238ms |    172.30.128.1 | POST     "/line/"
[GIN] 2022/07/28 - 13:12:42 | 200 |      4.0359ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:12:42 | 200 |      4.0784ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:12:42 | 200 |      2.4781ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:12:42 | 200 |      6.3343ms |    172.30.128.1 | POST     "/downtime/"
[GIN] 2022/07/28 - 13:12:42 | 200 |       3.509ms |    172.30.128.1 | POST     "/task/"
