[GIN] 2022/08/08 - 14:12:55 | 200 |    109.6327ms |    172.24.192.1 | POST     "/auth/login/"
[GIN] 2022/08/08 - 14:12:55 | 200 |      7.8083ms |    172.24.192.1 | GET      "/auth/refresh/"
[GIN] 2022/08/08 - 14:12:55 | 200 |      5.3392ms |    172.24.192.1 | GET      "/user/rishabh2791/"
[GIN] 2022/08/08 - 14:12:55 | 200 |      9.2741ms |    172.24.192.1 | POST     "/shift/"
[GIN] 2022/08/08 - 14:12:55 | 200 |      8.0029ms |    172.24.192.1 | POST     "/line/"
[GIN] 2022/08/08 - 14:12:55 | 200 |      13.035ms |    172.24.192.1 | GET      "/public/profile_pics/default.jpg"
[GIN] 2022/08/08 - 14:12:56 | 200 |     12.8038ms |    172.24.192.1 | POST     "/downtime/"
[GIN] 2022/08/08 - 14:12:56 | 200 |      6.4872ms |    172.24.192.1 | POST     "/downtime/"
[GIN] 2022/08/08 - 14:12:56 | 200 |      4.0572ms |    172.24.192.1 | POST     "/downtime/"
[GIN] 2022/08/08 - 14:12:56 | 200 |      3.6366ms |    172.24.192.1 | POST     "/downtime/"
[GIN] 2022/08/08 - 14:12:56 | 200 |     51.3106ms |    172.24.192.1 | POST     "/task/"
[GIN] 2022/08/08 - 14:12:56 | 200 |     42.7999ms |    172.24.192.1 | GET      "/task_batch/3ca31c49-f28f-49e8-a899-232e49ae399d/"
[GIN] 2022/08/08 - 14:12:56 | 200 |     31.2519ms |    172.24.192.1 | GET      "/task_batch/73116781-c1b4-49e8-bea2-68ef6581ba58/"
[GIN] 2022/08/08 - 14:13:12 | 200 |       7.478ms |    172.24.192.1 | POST     "/line/"
[GIN] 2022/08/08 - 14:13:12 | 200 |      9.5727ms |    172.24.192.1 | POST     "/shift/"
[GIN] 2022/08/08 - 14:13:12 | 200 |     44.0858ms |    172.24.192.1 | POST     "/task/"
[GIN] 2022/08/08 - 14:13:13 | 200 |     50.3667ms |    172.24.192.1 | GET      "/task_batch/c75d25fc-e003-4103-af15-7be956e88b73/"
[GIN] 2022/08/08 - 14:13:13 | 200 |     12.1053ms |    172.24.192.1 | POST     "/device/"
[GIN] 2022/08/08 - 14:13:13 | 200 |     362.245ms |    172.24.192.1 | POST     "/device_data/"
[GIN] 2022/08/08 - 14:13:14 | 200 |      7.9412ms |    172.24.192.1 | POST     "/downtime/"
[GIN] 2022/08/08 - 14:13:33 | 200 |      5.5364ms |    172.24.192.1 | POST     "/auth/logout/"
